date,state,deaths,hospitalized,positive,tests,death_cum,hospitalized_cum,positive_cum,tests_cum
20200407,CT,71.0,0.0,875.0,2350.0,277.0,0.0,7781.0,29036.0
20200407,DC,-2.0,0.0,114.0,370.0,22.0,0.0,1211.0,7823.0
20200407,DE,2.0,0.0,255.0,1562.0,16.0,0.0,928.0,8556.0
20200407,FL,60.0,317.0,1423.0,14888.0,296.0,1999.0,14747.0,138162.0
20200407,GA,100.0,442.0,1504.0,2439.0,329.0,1774.0,8818.0,33713.0
20200407,GU,0.0,0.0,8.0,32.0,4.0,0.0,121.0,650.0
20200407,HI,1.0,5.0,16.0,16.0,5.0,26.0,387.0,13542.0
20200407,IA,1.0,14.0,102.0,1119.0,26.0,193.0,1048.0,12718.0
20200407,ID,3.0,6.0,69.0,251.0,13.0,83.0,1170.0,11246.0
20200407,IL,73.0,0.0,1287.0,5790.0,380.0,0.0,13549.0,68732.0
20200407,IN,34.0,0.0,563.0,2573.0,173.0,0.0,5507.0,28764.0
20200407,KS,2.0,25.0,55.0,430.0,27.0,223.0,900.0,9514.0
20200407,KY,14.0,0.0,53.0,1188.0,59.0,0.0,1008.0,19955.0
20200407,LA,70.0,0.0,1417.0,5489.0,582.0,0.0,16284.0,74655.0
20200407,MA,96.0,194.0,1365.0,4915.0,356.0,1435.0,15202.0,81344.0
20200407,MD,12.0,47.0,326.0,2010.0,103.0,1106.0,4371.0,31627.0
20200407,ME,2.0,7.0,20.0,20.0,12.0,99.0,519.0,6607.0
20200407,MI,118.0,0.0,973.0,3403.0,845.0,0.0,19823.0,65373.0
20200407,MN,4.0,19.0,83.0,1132.0,34.0,242.0,1069.0,29260.0
20200407,MO,14.0,0.0,315.0,2134.0,53.0,0.0,3037.0,31969.0
20200407,MP,1.0,0.0,0.0,2.0,2.0,0.0,8.0,23.0
20200407,MS,8.0,-98.0,177.0,177.0,59.0,377.0,1915.0,20547.0
20200407,MT,0.0,4.0,20.0,195.0,6.0,28.0,319.0,6985.0
20200407,NC,13.0,0.0,351.0,356.0,46.0,0.0,3221.0,41082.0
20200407,ND,1.0,1.0,12.0,490.0,4.0,33.0,237.0,7703.0
20200407,NE,2.0,0.0,38.0,471.0,10.0,0.0,447.0,7258.0
20200407,NH,0.0,11.0,46.0,364.0,9.0,103.0,715.0,8734.0
20200407,NJ,229.0,0.0,3326.0,5942.0,1232.0,0.0,44416.0,94974.0
20200407,NM,0.0,0.0,62.0,2689.0,12.0,0.0,686.0,21825.0
20200407,NV,12.0,0.0,134.0,1010.0,58.0,0.0,2087.0,18639.0
20200407,NY,731.0,1880.0,8174.0,19247.0,5489.0,32083.0,138863.0,340058.0
20200407,OH,25.0,140.0,332.0,2460.0,167.0,1354.0,4782.0,50838.0
20200407,OK,16.0,36.0,145.0,10544.0,67.0,376.0,1472.0,13293.0
20200407,OR,6.0,66.0,49.0,1206.0,33.0,324.0,1181.0,23007.0
20200407,PA,78.0,0.0,1579.0,7424.0,240.0,0.0,14559.0,91278.0
20200407,PR,2.0,0.0,60.0,594.0,23.0,0.0,573.0,4539.0
20200407,RI,3.0,0.0,148.0,1826.0,30.0,0.0,1230.0,10307.0
20200407,SC,7.0,0.0,368.0,4704.0,51.0,241.0,2417.0,23680.0
20200407,SD,2.0,0.0,32.0,248.0,6.0,23.0,320.0,6268.0
20200407,TN,7.0,56.0,336.0,5524.0,72.0,408.0,4138.0,52874.0
20200407,TX,14.0,0.0,986.0,3292.0,154.0,0.0,8262.0,88649.0
20200407,UT,0.0,10.0,63.0,1253.0,13.0,148.0,1738.0,34647.0
20200407,VA,9.0,66.0,455.0,4124.0,63.0,563.0,3333.0,28645.0
20200407,VI,0.0,0.0,0.0,0.0,1.0,0.0,43.0,265.0
20200407,VT,0.0,0.0,32.0,496.0,23.0,45.0,575.0,7129.0
