"","Region","Confirmed","Day_Confirmed","Date","Cumulative_tests","Day_test"
"582","MA",8966,1228,"20200402",56608,4870
"583","MD",2331,346,"20200402",21221,2003
"584","ME",376,32,"20200402",6464,32
"585","MI",14117,1229,"20200402",44485,4360
"586","MN",742,53,"20200402",22394,1203
"587","MO",1834,253,"20200402",19683,2256
"588","MP",8,2,"20200402",21,15
"589","MS",1177,104,"20200402",5930,1145
"590","MT",227,19,"20200402",5320,402
"591","NC",1857,273,"20200402",28679,2436
"592","ND",159,17,"20200402",4980,487
"593","NE",246,36,"20200402",4224,539
"594","NH",415,0,"20200402",6493,93
"595","NJ",25590,3335,"20200402",59110,6468
"596","NM",363,48,"20200402",14011,771
"597","NV",1458,179,"20200402",14046,1248
"598","NY",92381,8669,"20200402",238965,18085
"599","OH",2902,355,"20200402",34918,5379
"600","OK",879,160,"20200402",2144,177
"601","OR",826,90,"20200402",16085,2213
"602","PA",7016,1211,"20200402",54714,6482
"603","PR",316,30,"20200402",1920,225
"604","RI",657,91,"20200402",5069,672
"605","SC",1554,261,"20200402",6995,669
"606","SD",165,36,"20200402",4382,350
"607","TN",2845,162,"20200402",34611,2159
"608","TX",4669,672,"20200402",50679,2822
"609","UT",1074,62,"20200402",21229,62
"610","VA",1706,222,"20200402",17589,2245
"611","VI",33,3,"20200402",182,26
"612","VT",338,17,"20200402",5049,554
"613","WA",6962,369,"20200402",75776,8617
"614","WI",1730,180,"20200402",22047,1678
"615","WV",217,26,"20200402",5493,918
"616","WY",150,20,"20200402",2589,241
"617","AK",133,14,"20200401",4603,890
"618","AL",1077,96,"20200401",7774,495
"619","AR",584,61,"20200401",7938,1456
"620","AS",0,0,"20200401",3,0
"621","AZ",1413,124,"20200401",21058,1687
"622","CA",8155,673,"20200401",29927,673
"623","CO",2966,339,"20200401",16849,1485
"624","CT",3557,429,"20200401",16600,443
"625","DC",586,91,"20200401",3848,91
"626","DE",368,49,"20200401",4383,368
"627","FL",6955,617,"20200401",66484,5861
"628","GA",4638,709,"20200401",20326,4145
"629","GU",77,8,"20200401",483,43
"630","HI",208,4,"20200401",8929,254
"631","IA",549,52,"20200401",7853,468
"632","ID",525,110,"20200401",6601,889
"633","IL",6980,986,"20200401",40384,5159
"634","IN",2565,406,"20200401",14375,1002
"635","KS",482,54,"20200401",5893,469
"636","KY",591,111,"20200401",7556,746
"637","LA",6424,1187,"20200401",45776,6809
"638","MA",7738,1118,"20200401",51738,4803
"639","MD",1985,325,"20200401",19218,2690
"640","ME",344,41,"20200401",6432,41
"641","MI",12888,1013,"20200401",40125,4271
"642","MN",689,60,"20200401",21191,1411
"643","MO",1581,254,"20200401",17427,1486
